month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2015-01-01,22.234193548387097,12.79,32.15,68.24354838709678,0.24,0.6109677419354839,19.14032258064516,21.28774193548387,15.024193548387096,0.10087586374105939,0,0.0,79.02,28.55
2015-02-01,24.222857142857144,15.86,34.0,56.06107142857143,0.54,0.7028571428571428,23.00714285714286,24.15142857142857,12.901785714285714,0.04737962853424804,0,0.0,22.2,41.86
2015-03-01,25.965806451612902,17.31,35.64,61.68677419354839,39.57,0.645483870967742,22.557419354838707,25.13290322580645,16.166451612903227,0.10247458671321497,6,0.1935,0.0,34.39
2015-04-01,25.765333333333334,20.08,35.2,73.702,98.86,0.5956666666666667,20.204666666666665,25.725,19.846666666666668,0.21459021703919678,21,0.7,0.0,20.65
2015-05-01,24.875806451612902,20.32,34.35,82.00354838709679,161.57,0.78,18.149354838709677,24.83516129032258,21.160645161290322,0.2692072893530245,25,0.8065,3.55,13.15
2015-06-01,23.483333333333334,19.28,29.71,88.019,265.54,1.4456666666666669,16.630333333333333,25.047,21.205666666666666,0.3360349210151582,28,0.9333,43.33,7.95
2015-07-01,22.969032258064516,18.56,27.65,89.26903225806453,163.96,1.4009677419354838,17.15806451612903,25.398387096774194,20.971612903225807,0.3244427510001906,25,0.8065,58.03,7.25
2015-08-01,23.078064516129032,19.26,29.06,88.84129032258065,136.22,1.1370967741935485,18.15032258064516,25.84774193548387,20.968709677419355,0.29779852236421733,25,0.8065,54.91,7.84
2015-09-01,23.379666666666665,19.09,30.32,86.32133333333333,133.57,0.9600000000000001,19.14966666666667,25.01966666666667,20.702333333333335,0.23461543585712574,21,0.7,46.3,10.47
2015-10-01,23.759032258064515,17.98,30.74,82.0841935483871,116.67999999999999,0.6606451612903226,18.030645161290323,23.141290322580645,20.065806451612904,0.22084529816833476,21,0.6774,35.46,13.96
2015-11-01,22.423000000000002,15.26,28.51,86.077,157.74,0.7170000000000001,14.081,21.149,19.737666666666666,0.33420019859094996,24,0.8,73.63,9.27
2015-12-01,22.898064516129033,15.15,31.53,76.27290322580646,24.59,0.8187096774193549,17.066451612903226,20.61774193548387,17.748709677419356,0.17224438707658607,9,0.2903,60.06,19.64
2016-01-01,23.340645161290322,13.67,33.83,63.32387096774193,5.26,0.6809677419354838,18.753870967741936,20.94516129032258,14.458064516129031,0.10462036038811029,2,0.0645,47.41,32.84
2016-02-01,25.938275862068966,15.45,37.0,56.27758620689655,2.1,0.6879310344827586,21.589310344827588,23.563103448275864,14.643448275862069,0.08376626227445017,0,0.0,0.0,40.06
2016-03-01,27.799032258064514,20.05,37.79,57.17645161290323,7.54,0.6109677419354839,23.10516129032258,24.962580645161292,16.81096774193548,0.07440814638685,3,0.0968,0.0,39.64
2016-04-01,28.488666666666667,21.98,38.78,63.907666666666664,19.09,0.7923333333333333,23.339333333333332,25.904333333333334,19.471,0.09901818228610404,8,0.2667,0.0,32.52
2016-05-01,26.254516129032258,21.52,37.37,77.35451612903226,121.77,0.9087096774193549,20.014193548387098,25.539032258064516,21.276774193548388,0.21632921145368877,23,0.7419,0.0,17.75
2016-06-01,23.173000000000002,18.81,28.52,88.461,294.21,1.4426666666666668,15.003333333333334,24.946,20.998333333333335,0.3985675726235335,29,0.9667,52.2,6.94
2016-07-01,22.51322580645161,18.92,26.94,90.7374193548387,279.21,1.4274193548387097,15.511612903225807,24.863225806451613,20.825161290322583,0.3761222689293684,30,0.9677,71.05,5.78
2016-08-01,22.55548387096774,18.71,27.54,89.85903225806452,119.42,1.4087096774193548,17.151935483870968,25.693870967741937,20.681290322580644,0.33245031449699314,29,0.9355,69.84,6.77
2016-09-01,22.465666666666667,17.79,28.49,87.06400000000001,41.95,1.1316666666666668,17.966,25.172,19.982000000000003,0.2862704592404258,15,0.5,72.41,9.23
2016-10-01,23.581935483870968,18.08,31.31,79.77935483870968,34.86,0.7938709677419354,18.835806451612903,23.206451612903226,19.29032258064516,0.18833750347511813,6,0.1935,40.52,16.41
2016-11-01,23.625666666666667,15.58,33.06,69.76466666666667,44.07,0.5846666666666667,18.291333333333334,21.138333333333332,16.435666666666666,0.13468422297563654,8,0.2667,39.27,26.16
2016-12-01,23.009677419354837,13.85,32.38,65.66290322580645,60.029999999999994,0.6683870967741935,17.64516129032258,20.708387096774196,14.620645161290323,0.14792198890896646,7,0.2258,56.87,29.26
2017-01-01,23.219032258064516,14.35,33.23,60.20903225806452,19.53,0.6948387096774193,18.853870967741937,21.322580645161292,13.440967741935484,0.11577912254160361,4,0.129,50.88,35.18
2017-02-01,24.68285714285714,15.25,36.43,50.403571428571425,0.06999999999999999,0.7264285714285714,23.486428571428572,24.630357142857143,10.943214285714287,0.0464438483288625,0,0.0,9.06,47.29
2017-03-01,25.80322580645161,17.29,36.39,63.12967741935484,56.56,0.6358064516129033,21.520967741935483,25.234516129032258,16.27193548387097,0.14716146599000346,12,0.3871,0.0,31.44
2017-04-01,26.861333333333334,21.19,36.43,70.23133333333334,59.440000000000005,0.7126666666666667,22.332666666666668,25.246333333333332,19.762,0.11540949840900983,14,0.4667,0.0,26.33
2017-05-01,25.368387096774192,19.19,34.74,81.12677419354839,176.69,0.8135483870967741,19.452903225806452,24.866129032258065,21.366129032258065,0.21769475254589088,27,0.871,0.0,14.76
2017-06-01,23.312666666666665,18.66,28.35,88.04433333333333,228.7,1.4116666666666666,16.101333333333333,25.529666666666667,21.038333333333334,0.3693089085900064,29,0.9667,48.21,7.54
2017-07-01,22.766451612903225,18.98,27.86,89.57967741935484,180.85999999999999,1.3490322580645162,15.887419354838709,24.96741935483871,20.82709677419355,0.3636739492758305,29,0.9355,63.82,6.63
2017-08-01,22.716129032258067,19.23,27.77,90.4158064516129,235.98,1.1848387096774196,15.198387096774193,25.14032258064516,20.945483870967745,0.3954577532559185,30,0.9677,65.25,5.79
2017-09-01,23.008333333333333,19.15,28.42,90.72933333333334,323.42,0.9216666666666666,16.816666666666666,24.811666666666667,21.293333333333333,0.32222744676563453,28,0.9333,56.9,6.28
2017-10-01,22.77741935483871,17.74,27.83,89.14290322580645,132.71,0.7048387096774194,15.766774193548386,22.69677419354839,20.74451612903226,0.3053297328027289,23,0.7419,63.5,7.54
2017-11-01,22.511333333333333,17.04,27.52,85.91533333333334,65.83,0.6713333333333333,15.505666666666666,20.796666666666667,19.824666666666666,0.25441577175829466,13,0.4333,71.1,10.5
2017-12-01,21.416451612903224,13.6,28.53,78.48516129032258,51.089999999999996,0.7903225806451613,17.749032258064517,20.374193548387098,16.970967741935485,0.12884737175427485,4,0.129,97.61,18.74
