month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2012-01-01,24.739032258064515,20.66,28.01,77.13548387096773,13.93,3.196451612903226,18.94193548387097,21.32741935483871,20.39774193548387,0.11185056341223609,5,0.1613,7.46,20.31
2012-02-01,25.53344827586207,22.32,31.11,76.69586206896551,1.31,3.1779310344827585,21.354827586206895,23.281379310344825,20.989655172413794,0.08275075537650334,0,0.0,0.0,21.38
2012-03-01,28.236451612903227,24.67,33.06,74.28870967741935,5.29,3.38741935483871,22.369032258064518,24.62516129032258,22.931290322580644,0.09161885299588668,1,0.0323,0.0,23.36
2012-04-01,29.694,25.89,34.04,73.07566666666666,23.6,3.552333333333334,23.878666666666668,25.69066666666667,24.084666666666667,0.07053145111064985,4,0.1333,0.0,25.03
2012-05-01,30.79064516129032,27.36,35.81,70.23387096774194,22.85,4.333225806451614,21.940322580645162,23.519032258064517,24.434193548387096,0.06712477197602484,4,0.129,0.0,27.77
2012-06-01,30.529,26.02,36.63,64.54566666666666,38.46,4.531000000000001,21.493333333333332,24.587666666666667,22.727333333333334,0.12584900288762668,12,0.4,0.0,30.99
2012-07-01,29.59935483870968,26.06,34.46,70.46322580645162,77.76,3.5325806451612904,20.12483870967742,24.19483870967742,23.40032258064516,0.16821769505626372,14,0.4516,0.0,24.57
2012-08-01,28.921935483870968,25.95,34.09,73.47387096774193,90.13000000000001,3.6551612903225807,19.878387096774194,24.48774193548387,23.481290322580644,0.18823110970597534,23,0.7419,0.0,21.53
2012-09-01,28.625,25.42,33.42,76.07566666666666,99.14,3.102,20.004,23.925,23.825333333333333,0.1638871473354232,24,0.8,0.0,20.0
2012-10-01,27.83451612903226,25.54,32.96,79.56516129032258,443.67,3.7393548387096773,15.701935483870967,22.49451612903226,23.858387096774194,0.30196607058351144,22,0.7097,0.0,14.26
2012-11-01,26.266000000000002,21.32,29.79,80.41733333333333,45.37,3.8703333333333334,18.77733333333333,20.549333333333333,22.562666666666665,0.08623150791590983,10,0.3333,0.0,17.89
2012-12-01,25.80483870967742,23.28,28.54,80.98354838709676,84.19,4.5277419354838715,15.67,19.77032258064516,22.260645161290324,0.20739785928729926,15,0.4839,0.0,15.07
2013-01-01,25.442580645161293,21.86,28.47,76.40193548387097,1.46,3.9932258064516133,19.01806451612903,20.813225806451616,20.885483870967743,0.08625098805040243,0,0.0,0.0,21.56
2013-02-01,26.331071428571427,22.31,30.7,74.56714285714285,14.39,3.7789285714285716,20.221785714285716,23.032857142857143,21.233214285714286,0.12204614525832658,5,0.1786,0.0,22.33
2013-03-01,27.871612903225806,23.73,32.91,72.97967741935483,35.55,3.4070967741935485,22.137096774193548,24.71,22.261612903225807,0.10412396705003857,4,0.129,0.0,24.21
2013-04-01,30.363999999999997,26.4,35.35,71.779,13.139999999999999,3.9026666666666667,23.227333333333334,24.763333333333332,24.433666666666667,0.06202719073899576,3,0.1,0.0,26.47
2013-05-01,31.15838709677419,26.71,36.13,68.40645161290323,49.49,4.266451612903226,21.36,24.176774193548386,24.311612903225804,0.11650744516197897,13,0.4194,0.0,27.91
2013-06-01,29.93,26.2,35.27,68.60533333333333,89.26,4.477333333333333,19.390333333333334,23.872333333333334,23.252333333333336,0.18774871887959554,15,0.5,0.0,25.5
2013-07-01,29.213548387096775,25.47,34.28,70.02677419354839,82.26,4.07258064516129,17.319032258064517,24.174516129032256,22.9741935483871,0.2835830853604835,15,0.4839,0.0,21.47
2013-08-01,28.760645161290324,25.78,33.7,75.2058064516129,152.66,3.2329032258064516,19.268709677419356,24.550322580645158,23.767419354838708,0.21513415499434985,24,0.7742,0.0,19.46
2013-09-01,28.147,25.49,31.85,79.916,154.52,3.4363333333333332,20.279,24.389,24.261333333333333,0.16851859444831685,23,0.7667,0.0,16.7
2013-10-01,28.030322580645162,25.36,32.24,80.21741935483871,147.72,3.1283870967741936,18.809677419354838,22.336451612903225,24.225483870967743,0.15789321664283762,21,0.6774,0.0,16.66
2013-11-01,26.680999999999997,23.08,29.55,81.01700000000001,146.51,4.076333333333333,15.726333333333335,20.323,23.097666666666665,0.22618051796814775,21,0.7,0.0,14.69
2013-12-01,25.309677419354838,21.27,28.84,76.00645161290322,85.65,4.494193548387097,15.73483870967742,20.050967741935484,20.640967741935484,0.21525789118053984,10,0.3226,0.0,18.83
2014-01-01,25.313225806451616,22.68,28.34,73.42032258064516,6.15,4.586774193548387,17.184193548387096,20.68290322580645,20.082903225806454,0.16915950527941104,1,0.0323,0.0,22.08
2014-02-01,26.010357142857142,22.0,29.62,70.96714285714286,6.489999999999999,3.7139285714285712,20.32857142857143,22.84892857142857,20.10607142857143,0.11030526595495249,1,0.0357,0.0,25.83
2014-03-01,27.932580645161288,23.91,33.88,68.16774193548386,1.16,3.459032258064516,23.021612903225805,25.15290322580645,21.093225806451613,0.08473337266268244,0,0.0,0.0,29.14
2014-04-01,29.898666666666667,25.9,34.45,71.31733333333334,6.19,3.4806666666666666,23.853333333333335,24.95266666666667,23.783333333333335,0.044056747441823196,0,0.0,0.0,27.42
2014-05-01,30.095483870967744,27.05,35.13,75.73419354838708,105.03999999999999,4.005483870967742,21.606451612903225,24.391612903225806,25.120322580645162,0.11418520379823838,17,0.5484,0.0,21.5
